00;brk;imp;7
01;ora;(zp,x);6
05;ora;zp;3
06;asl;zp;5
08;php;imp;3
09;ora;imm;2
0A;asl;acc;2
0D;ora;abs;4
0E;asl;abs;6
10;bpl;rel;2**
11;ora;(zp),y;5*
15;ora;zp,x;4
16;asl;zp,x;6
18;clc;imp;2
19;ora;abs,y;4*
1D;ora;abs,x;4*
1E;asl;abs,x;7
20;jsr;abs;6
21;and;(zp,x);6
24;bit;zp;3
25;and;zp;3
26;rol;zp;5
28;plp;imp;4
29;and;imm;2
2A;rol;acc;2
2C;bit;abs;4
2D;and;abs;4
2E;rol;abs;6
30;bmi;rel;2**
31;and;(zp),y;5*
35;and;zp,x;4
36;rol;zp,x;6
38;sec;imp;2
39;and;abs,y;4*
3D;and;abs,x;4*
3E;rol;abs,x;7
40;rti;imp;6
41;eor;(zp,x);6
45;eor;zp;3
46;lsr;zp;5
48;pha;imp;3
49;eor;imm;2
4A;lsr;acc;2
4C;jmp;abs;3
4D;eor;abs;4
4E;lsr;abs;6
50;bvc;rel;2**
51;eor;(zp),y;5*
55;eor;zp,x;4
56;lsr;zp,x;6
58;cli;imp;2
59;eor;abs,y;4*
5D;eor;abs,x;4*
5E;lsr;abs,x;7
60;rts;imp;6
61;adc;(zp,x);6
65;adc;zp;3
66;ror;zp;5
68;pla;imp;4
69;adc;imm;2
6A;ror;acc;2
6C;jmp;(abs);5
6D;adc;abs;4
6E;ror;abs;6
70;bvs;rel;2**
71;adc;(zp),y;5*
75;adc;zp,x;4
76;ror;zp,x;6
78;sei;imp;2
79;adc;abs,y;4*
7D;adc;abs,x;4*
7E;ror;abs,x;7
81;sta;(zp,x);6
84;sty;zp;3
85;sta;zp;3
86;stx;zp;3
88;dey;imp;2
8A;txa;imp;2
8C;sty;abs;4
8D;sta;abs;4
8E;stx;abs;4
90;bcc;rel;2**
91;sta;(zp),y;6
94;sty;zp,x;4
95;sta;zp,x;4
96;stx;zp,y;4
98;tya;imp;2
99;sta;abs,y;5
9A;txs;imp;2
9D;sta;abs,x;5
A0;ldy;imm;2
A1;lda;(zp,x);6
A2;ldx;imm;2
A4;ldy;zp;3
A5;lda;zp;3
A6;ldx;zp;3
A8;tay;imp;2
A9;lda;imm;2
AA;tax;imp;2
AC;ldy;abs;4
AD;lda;abs;4
AE;ldx;abs;4
B0;bcs;rel;2**
B1;lda;(zp),y;5*
B4;ldy;zp,x;4
B5;lda;zp,x;4
B6;ldx;zp,y;4
B8;clv;imp;2
B9;lda;abs,y;4*
BA;tsx;imp;2
BC;ldy;abs,x;4*
BD;lda;abs,x;4*
BE;ldx;abs,y;4*
C0;cpy;imm;2
C1;cmp;(zp,x);6
C4;cpy;zp;3
C5;cmp;zp;3
C6;dec;zp;5
C8;iny;imp;2
C9;cmp;imm;2
CA;dex;imp;2
CC;cpy;abs;4
CD;cmp;abs;4
CE;dec;abs;6
D0;bne;rel;2**
D1;cmp;(zp),y;5*
D5;cmp;zp,x;4
D6;dec;zp,x;6
D8;cld;imp;2
D9;cmp;abs,y;4*
DD;cmp;abs,x;4*
DE;dec;abs,x;7
E0;cpx;imm;2
E1;sbc;(zp,x);6
E4;cpx;zp;3
E5;sbc;zp;3
E6;inc;zp;5
E8;inx;imp;2
E9;sbc;imm;2
EA;nop;imp;2
EC;cpx;abs;4
ED;sbc;abs;4
EE;inc;abs;6
F0;beq;rel;2**
F1;sbc;(zp),y;5*
F5;sbc;zp,x;4
F6;inc;zp,x;6
F8;sed;imp;2
F9;sbc;abs,y;4*
FD;sbc;abs,x;4*
FE;inc;abs,x;7